id,genres,country,title,year,language,actors,director,writers
57771,['Comedy'],Canada,Score: A Hockey Musical,2010,English,"[('Noah Reid', 2, 0), ('Allie MacDonald', 1, 0), ('Olivia Newton-John', 1, 0), ('Marc Jordan', 2, 0)]","[('Michael McGowan', 2, 0)]",[]
43389,['Drama'],Italy,Variety Lights,1950,Italian,"[('Giulietta Masina', 1, 0), ('Peppino De Filippo', 0, 0), ('Carla Del Poggio', 0, 0), ('John Kitzmiller', 0, 0), ('Folco Lulli', 2, 0), ('Dante Maggio', 2, 0), ('Checco Durante', 0, 0), ('Gina Mascetti', 0, 0), ('Giulio Calì', 0, 0), ('Silvio Bagolini', 0, 0), ('Giacomo Furia', 0, 0), ('Mario De Angelis', 0, 0), ('Vanja Orico', 0, 0), ('Enrico Piergentili', 0, 0), ('Renato Malavasi', 0, 0), ('Joseph Falletta', 0, 0), ('Carlo Romano', 2, 0), ('Fanny Marchiò', 0, 0), ('Franca Valeri', 0, 0), ('Alberto Bonucci', 2, 0), ('Vittorio Caprioli', 2, 0)]","[('Federico Fellini', 2, 0), ('Alberto Lattuada', 2, 0)]",[]
16410,"['Comedy', 'Drama']",United Kingdom,Hobson's Choice,1954,English,"[('Charles Laughton', 0, 0), ('John Mills', 2, 0), ('Brenda De Banzie', 1, 0), ('Daphne Anderson', 1, 0), ('Prunella Scales', 1, 0), ('Richard Wattis', 2, 0), ('Derek Blomfield', 0, 0), ('Helen Haye', 1, 0), ('Joseph Tomelty', 0, 0), ('Julien Mitchell', 0, 0), ('Gibb McLaughlin', 2, 0), ('Philip Stainton', 2, 0), ('Dorothy Gordon', 0, 0), ('Madge Brindley', 0, 0), ('John Laurie', 2, 0), ('Raymond Huntley', 2, 0), ('Jack Howarth', 0, 0)]","[('David Lean', 2, 0)]",[]
12435,"['Comedy', 'Drama']",United States of America,The Nanny Diaries,2007,English,"[('Scarlett Johansson', 1, 0), ('Laura Linney', 1, 0), ('Nicholas Art', 0, 0), ('Chris Evans', 2, 0), ('Paul Giamatti', 2, 0), ('Donna Murphy', 1, 0), ('Alicia Keys', 1, 0), ('Judith Roberts', 1, 0), ('Charlie Hewson', 0, 0), ('Alison Wright', 1, 0), ('Nate Corddry', 0, 0)]","[('Shari Springer Berman', 1, 0), ('Robert Pulcini', 2, 0)]",[]
34561,['Drama'],China,Purple Butterfly,2003,Chinese,"[('Zhang Ziyi', 1, 0), ('Liu Ye', 2, 0), ('Feng Yuanzheng', 0, 0), ('Toru Nakamura', 0, 0), ('Li Bingbing', 1, 0), ('Kin Ei', 0, 0), ('Lan Yan', 0, 0), ('Anlian Yao', 0, 0)]","[('Lou Ye', 0, 0)]",[]
356057,['Drama'],United States of America,Polycarp,2015,English,"[('Garry Nation', 0, 0), ('Elya Hurt', 0, 0), ('Rusty Martin', 0, 0), ('Justin Lewis', 0, 0)]",[],[]
90118,['Comedy'],Canada,A Little Bit Zombie,2012,English,"[('Stephen McHattie', 2, 0), ('Kristopher Turner', 2, 0), ('Crystal Lowe', 1, 0), ('Shawn Roberts', 2, 0), ('Emilie Ullerup', 1, 0), ('George Buza', 2, 0), ('Robert Maillet', 2, 0), ('Kristen Hager', 1, 0)]","[('Casey Walker', 0, 0)]",[]
12497,"['Comedy', 'Drama']",Greece,A Touch of Spice,2003,Greek,"[('Ieroklis Michaelidis', 0, 0), ('Renia Louizidou', 0, 0), ('Tamer Karadağlı', 0, 0), ('Stelios Mainas', 0, 0), ('Tassos Bandis', 0, 0), ('Odysseas Papaspiliopoulos', 0, 0), ('Georges Corraface', 2, 0)]","[('Tassos Boulmetis', 0, 0)]",[]
19286,['Comedy'],United States of America,Leprechaun 3,1995,English,"[('Warwick Davis', 2, 0), ('John Gatins', 2, 0), ('Lee Armstrong', 0, 0), ('John DeMita', 2, 0), ('Michael Callan', 0, 0), ('Caroline Williams', 1, 0), ('Marcelo Tubert', 2, 0), ('Tom Dugan', 0, 0), ('Leigh-Allyn Baker', 1, 0), ('Linda Shayne', 1, 0), ('Roger Hewlett', 2, 0), ('Terry Lee Crisp', 0, 0), ('Zoe Trilling', 0, 0), ('Merle Kennedy', 1, 0), ('Rod McCary', 2, 0), ('Ed Gale', 2, 0), ('Heidi Staley', 0, 0)]","[('Brian Trenchard-Smith', 0, 0)]","[('David DuBos', 0, 0)]"
17610,['Comedy'],United States of America,Year One,2009,English,"[('Jack Black', 2, 0), ('Michael Cera', 2, 0), ('Olivia Wilde', 1, 0), ('Oliver Platt', 2, 0), ('David Cross', 2, 0), ('Christopher Mintz-Plasse', 2, 0), ('Vinnie Jones', 2, 0), ('Hank Azaria', 2, 0), ('Juno Temple', 1, 0), ('June Diane Raphael', 0, 0), ('Xander Berkeley', 2, 0), ('Gia Carides', 1, 0), ('Kyle Gass', 2, 0), ('Paul Rudd', 2, 0), ('Eden Riegel', 1, 0), ('Harold Ramis', 2, 0), ('Rhoda Griffis', 1, 0), ('Horatio Sanz', 2, 0), ('David Pasquesi', 2, 0), ('Matthew Willig', 0, 0), ('Gabriel Sunday', 2, 0), ('Bill Hader', 2, 0), ('Marshall Manesh', 2, 0), ('Paul Scheer', 2, 0)]","[('Harold Ramis', 2, 0)]",[]
260346,"['Thriller', 'Action']",France,Taken 3,2014,English,"[('Liam Neeson', 2, 0), ('Forest Whitaker', 2, 0), ('Maggie Grace', 1, 0), ('Famke Janssen', 1, 0), ('Dougray Scott', 2, 0), ('Sam Spruell', 2, 0), ('Don Harvey', 2, 0), ('Dylan Bruno', 2, 0), ('Leland Orser', 2, 0), ('David Warshofsky', 2, 0), ('Jon Gries', 2, 0), ('Jonny Weston', 0, 0), ('Andrew Borba', 2, 0), ('Judi Beecher', 0, 0), ('Andrew Howard', 2, 0), ('Chad Donella', 2, 0), ('Al Sapienza', 2, 0), ('Alexander Wraith', 2, 0), ('Cedric Cirotteau', 2, 0), ('Catherine Dyer', 1, 0), ('Jimmy Palumbo', 2, 0), ('Robert Pralgo', 0, 0), ('Tony Williams', 2, 0), ('Al Vicente', 2, 0), ('Shelley Calene-Black', 1, 0), ('Adam J. Smith', 2, 0), ('Jimmy Gonzales', 2, 0), ('Lauren Sivan', 1, 0), ('Cornelius Peter', 2, 0), ('Kevin Fry', 2, 0), ('Katie Mary Garland', 1, 0), ('Alex Disdier', 2, 0), ('Mike Davies', 2, 0), ('Ellen Ho', 1, 0), ('Haley Craft', 1, 0), ('Stephanie Honoré', 1, 0), ('Steve Coulter', 2, 0), ('Michael Shikany', 2, 0), ('Robert Bryan Davis', 2, 0), ('Nazareth Dairian', 2, 0), ('Tony Demil', 2, 0), ('Stefanie Kleine', 1, 0), ('Johnny Harvill', 2, 0), ('Angie Dillard', 1, 0), ('Wallace Langham', 2, 0), ('Anton Yakovlev', 0, 0), ('Cedric Camus', 0, 0), ('Karim Ben Haddou', 0, 0), ('Vincent Parisi', 0, 0), ('Scott Thrun', 0, 0), ('Cédric Chevalme', 0, 0), ('Pete Thias', 2, 0), ('Martin Vaughan Lewis', 0, 0), ('Ashante P.T. Stokes', 2, 0), ('Abbey Ferrell', 1, 0), ('Lauren Sivan', 1, 0)]","[('Olivier Megaton', 2, 0)]","[('Luc Besson', 2, 0), ('Robert Mark Kamen', 2, 0)]"
